
[Sun May 21 13:44:27 TRT 2023] [INFO] Contrast filter applied to erwinSmith6_Saved_9.jpg., took: 64 ms
[Sun May 21 13:44:34 TRT 2023] [INFO] Sharpening filter applied to erwinSmith6_erwinSmith6_Saved_9_contrast_4.0.jpg., took: 58 ms
[Sun May 21 13:45:06 TRT 2023] [INFO] erwinSmith6 posted the photo named erwinSmith6_erwinSmith6_erwinSmith6_Saved_9_contrast_4.0_sharpen_2.jpg., took: 1293 ms
[Sun May 21 13:45:26 TRT 2023] [INFO] erwinSmith6 liked the photo named erenJeager1_Shared_erenJeager1_erenJeager1_Saved_2_sharpen_2.jpg., took: 2 ms
[Sun May 21 13:46:03 TRT 2023] [INFO] erwinSmith6 liked the photo named leviAckerman4_Shared_leviAckerman4_leviAckerman4_leviAckerman4_Saved_6_contrast_2.0_brightness_52.jpg., took: 1 ms
[Sun May 21 13:46:06 TRT 2023] [INFO] erwinSmith6 logged out from PhotoCloud., took: 2 ms
[Sun May 21 13:46:11 TRT 2023] [INFO] User with nickname hangeZoe7 signed up to PhotoCloud, took: 51015 ms
[Sun May 21 13:47:05 TRT 2023] [INFO] hangeZoe7 saved 10.jpg., took: 19460 ms
[Sun May 21 13:47:32 TRT 2023] [INFO] Sharpening filter applied to hangeZoe7_Saved_10.jpg., took: 57 ms
[Sun May 21 13:47:43 TRT 2023] [INFO] hangeZoe7 posted the photo named hangeZoe7_hangeZoe7_Saved_10_sharpen_3.jpg., took: 1324 ms
[Sun May 21 13:47:47 TRT 2023] [INFO] hangeZoe7 posted a comment:I love these beasts:))))) to the photo:hangeZoe7_Shared_hangeZoe7_hangeZoe7_Saved_10_sharpen_3.jpg ., took: 8572 ms
[Sun May 21 13:47:56 TRT 2023] [INFO] hangeZoe7 liked the photo named hangeZoe7_Shared_hangeZoe7_hangeZoe7_Saved_10_sharpen_3.jpg., took: 1 ms
[Sun May 21 13:48:02 TRT 2023] [INFO] hangeZoe7 logged out from PhotoCloud., took: 2 ms
[Sun May 21 13:48:11 TRT 2023] [INFO] User with nickname sashaBraus8 signed up to PhotoCloud, took: 93352 ms
[Sun May 21 13:50:03 TRT 2023] [INFO] sashaBraus8 changed their profile photo from ./src/Icons/DefaultProfilePhoto_128.png to /Users/muhammeterenozogul/eclipse-workspace/projefinalcode/src/images/sashapp.jpeg., took: 57 ms
[Sun May 21 13:50:09 TRT 2023] [INFO] sashaBraus8 saved 11.jpg., took: 47999 ms
[Sun May 21 13:51:03 TRT 2023] [INFO] Blurring filter applied to sashaBraus8_Saved_11.jpg., took: 72 ms
[Sun May 21 13:51:21 TRT 2023] [INFO] sashaBraus8 posted the photo named sashaBraus8_sashaBraus8_Saved_11_blur_5.jpg., took: 1034 ms
[Sun May 21 13:51:35 TRT 2023] [INFO] sashaBraus8 liked the photo named sashaBraus8_Shared_sashaBraus8_sashaBraus8_Saved_11_blur_5.jpg., took: 1 ms
[Sun May 21 13:51:38 TRT 2023] [INFO] sashaBraus8 posted a comment:these noodles are on fireeeeeee!!! to the photo:sashaBraus8_Shared_sashaBraus8_sashaBraus8_Saved_11_blur_5.jpg ., took: 14612 ms
[Sun May 21 13:52:25 TRT 2023] [INFO] sashaBraus8 logged out from PhotoCloud., took: 3 ms
[Sun May 21 13:52:27 TRT 2023] [INFO] User with nickname jeanKirstein9 signed up to PhotoCloud, took: 63650 ms
[Sun May 21 13:54:03 TRT 2023] [INFO] jeanKirstein9 saved 12.jpg., took: 14607 ms
[Sun May 21 13:54:25 TRT 2023] [INFO] Sharpening filter applied to jeanKirstein9_Saved_12.jpg., took: 52 ms
[Sun May 21 13:54:30 TRT 2023] [INFO] jeanKirstein9 posted the photo named jeanKirstein9_jeanKirstein9_Saved_12_sharpen_3.jpg., took: 1014 ms
[Sun May 21 13:54:35 TRT 2023] [INFO] jeanKirstein9 posted a comment:best day of my life to the photo:jeanKirstein9_Shared_jeanKirstein9_jeanKirstein9_Saved_12_sharpen_3.jpg ., took: 8077 ms
[Sun May 21 13:54:43 TRT 2023] [INFO] jeanKirstein9 liked the photo named jeanKirstein9_Shared_jeanKirstein9_jeanKirstein9_Saved_12_sharpen_3.jpg., took: 1 ms
[Sun May 21 13:55:15 TRT 2023] [INFO] jeanKirstein9 logged out from PhotoCloud., took: 2 ms
[Sun May 21 14:00:50 TRT 2023] [INFO] erenOzogul logged in to PhotoCloud., took: 1601 ms
[Sun May 21 14:01:14 TRT 2023] [INFO] erenOzogul logged out from PhotoCloud., took: 4 ms
[Sun May 21 14:01:26 TRT 2023] [INFO] erenJeager1 logged in to PhotoCloud., took: 1471 ms
[Sun May 21 14:01:51 TRT 2023] [INFO] erenJeager1 logged out from PhotoCloud., took: 2 ms
[Sun May 21 14:02:01 TRT 2023] [INFO] leviAckerman4 logged in to PhotoCloud., took: 1339 ms
[Sun May 21 14:05:52 TRT 2023] [INFO] leviAckerman4 logged in to PhotoCloud., took: 1523 ms
[Sun May 21 14:06:11 TRT 2023] [INFO] leviAckerman4 logged out from PhotoCloud., took: 4 ms
[Sun May 21 14:06:57 TRT 2023] [INFO] erenJeager1 logged in to PhotoCloud., took: 1471 ms
[Sun May 21 14:09:26 TRT 2023] [INFO] erenJeager1 logged in to PhotoCloud., took: 1466 ms
[Sun May 21 14:09:32 TRT 2023] [INFO] erenJeager1 send a message to leviAckerman4 message: xfkdf., took: 1 ms
[Sun May 21 14:13:00 TRT 2023] [INFO] erenJeager1 logged in to PhotoCloud., took: 1504 ms
[Sun May 21 14:13:06 TRT 2023] [INFO] erenJeager1 logged out from PhotoCloud., took: 4 ms
[Sun May 21 21:28:18 TRT 2023] [INFO] erenJeager1 logged in to PhotoCloud., took: 1200 ms
[Sun May 21 21:28:32 TRT 2023] [INFO] erenJeager1 logged out from PhotoCloud., took: 3 ms
[Sun May 21 21:29:13 TRT 2023] [INFO] User with nickname jeanKristein9 signed up to PhotoCloud, took: 47998 ms
[Sun May 21 21:30:31 TRT 2023] [INFO] jeanKristein9 saved 12.jpg., took: 9138 ms
[Sun May 21 21:30:47 TRT 2023] [INFO] Sharpening filter applied to jeanKristein9_Saved_12.jpg., took: 78 ms
[Sun May 21 21:30:50 TRT 2023] [INFO] jeanKristein9 posted the photo named jeanKristein9_jeanKristein9_Saved_12_sharpen_3.jpg., took: 929 ms
[Sun May 21 21:32:17 TRT 2023] [INFO] jeanKristein9 liked the photo named jeanKristein9_Shared_jeanKristein9_jeanKristein9_Saved_12_sharpen_3.jpg., took: 2 ms
[Sun May 21 21:32:18 TRT 2023] [INFO] jeanKristein9 took his like back from the photo named jeanKristein9_Shared_jeanKristein9_jeanKristein9_Saved_12_sharpen_3.jpg., took: 2 ms
[Sun May 21 21:32:18 TRT 2023] [INFO] jeanKristein9 liked the photo named jeanKristein9_Shared_jeanKristein9_jeanKristein9_Saved_12_sharpen_3.jpg., took: 1 ms
